,eng,hindi,lexicon
0,abundant,हुस्न,positive
1,accessible,सुलभ,positive
2,accomplish,पूरा,positive
3,accomplished,पूरा,positive
4,accomplishment,उपलब्धि,positive
5,accomplishments,उपलब्धियों,positive
6,accurate,सटीक,positive
7,accurately,यथासंभव,positive
8,achievement,उपलब्धि,positive
9,achievements,उपलब्धियाँ,positive
10,acumen,कौशल,positive
11,adjustable,समायोजनीय,positive
12,admirable,प्रशंसनीय,positive
13,admire,प्रशंसा,positive
14,admirer,प्रशंसक,positive
15,adorable,प्यारे,positive
16,adore,प्यार,positive
17,advanced,उन्नत,positive
18,advantage,लाभ,positive
19,advantages,लाभ,positive
20,advocates,हिन्दुत्व,positive
21,affection,स्नेह,positive
22,affinity,संबंध,positive
23,affirmative,सकारात्मक,positive
24,afford,बर्दाश्त,positive
25,affordable,किफायती,positive
26,agile,एजाइल,positive
27,agility,की,positive
28,alluring,सम्मोहक,positive
29,amaze,आश्चर्यचकित,positive
30,amazed,हैरान,positive
31,amazing,अद्भुत,positive
32,amazingly,आश्चर्यजनक,positive
33,ambitious,महत्वाकांक्षी,positive
34,ample,पर्याप्त,positive
35,angel,परी,positive
36,angelic,ऐंजेलिक,positive
37,appeal,अपील,positive
38,appealing,ऐसे,positive
39,appreciate,की,positive
40,appreciated,सराहना,positive
41,appropriate,उपयुक्त,positive
42,approval,अनुमोदन,positive
43,approve,अनुमोदन,positive
44,aspire,अस्पायर,positive
45,assurance,आश्वासन,positive
46,assurances,आश्वासन,positive
47,assuring,सुनिश्चित,positive
48,astonished,बडा,positive
49,astonishing,चौंकाने,positive
50,astounding,आश्चर्यजनक,positive
51,attentive,सचेत,positive
52,attraction,आकर्षण,positive
53,attractive,आकर्षक,positive
54,attractively,आकर्षक,positive
55,auspicious,बनाते,positive
56,authentic,प्रामाणिक,positive
57,autonomous,खुला,positive
58,available,उपलब्ध,positive
59,award,पुरस्कार,positive
60,awarded,से,positive
61,awards,पुरस्कार,positive
62,awe,कर,positive
63,awesome,बेहतरीन,positive
64,awsome,कमाल,positive
65,backbone,मेरुदंड,positive
66,balanced,संतुलित,positive
67,bargain,सौदा,positive
68,beautiful,सुंदर,positive
69,beautifully,खूबसूरती,positive
70,beautify,शोभा,positive
71,beauty,सौंदर्य,positive
72,beloved,प्रिय,positive
73,beneficial,फायदेमंद,positive
74,beneficiary,लाभार्थी,positive
75,benefit,लाभ,positive
76,benefits,लाभ,positive
77,best,सर्वश्रेष्ठ,positive
78,better,बेहतर,positive
79,bless,आशीर्वाद,positive
80,blessing,आशीर्वाद,positive
81,bliss,आनंद,positive
82,blossom,खिलना,positive
83,bolster,ग्लोबस,positive
84,bonus,बोनस,positive
85,bonuses,बोनस,positive
86,boom,बूम,positive
87,booming,रहा,positive
88,boost,को,positive
89,brainy,जानिए,positive
90,brave,बहादुर,positive
91,bravo,ब्रावो,positive
92,breathtaking,लुभावनी,positive
93,breeze,मंद,positive
94,bright,चमकीले,positive
