,eng,lexicon,hindi
4,abundant,positive,हुस्न
6,accessible,positive,सुलभ
14,accomplish,positive,पूरा
15,accomplished,positive,पूरा
16,accomplishment,positive,उपलब्धि
17,accomplishments,positive,उपलब्धियों
18,accurate,positive,सटीक
19,accurately,positive,यथासंभव
21,achievement,positive,उपलब्धि
22,achievements,positive,उपलब्धियाँ
24,acumen,positive,कौशल
28,adjustable,positive,समायोजनीय
29,admirable,positive,प्रशंसनीय
32,admire,positive,प्रशंसा
33,admirer,positive,प्रशंसक
36,adorable,positive,प्यारे
37,adore,positive,प्यार
47,advanced,positive,उन्नत
48,advantage,positive,लाभ
51,advantages,positive,लाभ
56,advocates,positive,हिन्दुत्व
61,affection,positive,स्नेह
63,affinity,positive,संबंध
66,affirmative,positive,सकारात्मक
69,afford,positive,बर्दाश्त
70,affordable,positive,किफायती
73,agile,positive,एजाइल
75,agility,positive,की
80,alluring,positive,सम्मोहक
84,amaze,positive,आश्चर्यचकित
85,amazed,positive,हैरान
88,amazing,positive,अद्भुत
89,amazingly,positive,आश्चर्यजनक
90,ambitious,positive,महत्वाकांक्षी
102,ample,positive,पर्याप्त
107,angel,positive,परी
108,angelic,positive,ऐंजेलिक
110,appeal,positive,अपील
111,appealing,positive,ऐसे
114,appreciate,positive,की
115,appreciated,positive,सराहना
119,appropriate,positive,उपयुक्त
120,approval,positive,अनुमोदन
121,approve,positive,अनुमोदन
128,aspire,positive,अस्पायर
129,assurance,positive,आश्वासन
130,assurances,positive,आश्वासन
133,assuring,positive,सुनिश्चित
135,astonished,positive,बडा
136,astonishing,positive,चौंकाने
141,astounding,positive,आश्चर्यजनक
144,attentive,positive,सचेत
145,attraction,positive,आकर्षण
146,attractive,positive,आकर्षक
147,attractively,positive,आकर्षक
151,auspicious,positive,बनाते
152,authentic,positive,प्रामाणिक
154,autonomous,positive,खुला
155,available,positive,उपलब्ध
159,award,positive,पुरस्कार
160,awarded,positive,से
161,awards,positive,पुरस्कार
162,awe,positive,कर
164,awesome,positive,बेहतरीन
168,awsome,positive,कमाल
169,backbone,positive,मेरुदंड
170,balanced,positive,संतुलित
171,bargain,positive,सौदा
173,beautiful,positive,सुंदर
175,beautifully,positive,खूबसूरती
176,beautify,positive,शोभा
177,beauty,positive,सौंदर्य
184,beloved,positive,प्रिय
187,beneficial,positive,फायदेमंद
189,beneficiary,positive,लाभार्थी
190,benefit,positive,लाभ
191,benefits,positive,लाभ
195,best,positive,सर्वश्रेष्ठ
199,better,positive,बेहतर
204,bless,positive,आशीर्वाद
205,blessing,positive,आशीर्वाद
206,bliss,positive,आनंद
212,blossom,positive,खिलना
213,bolster,positive,ग्लोबस
215,bonus,positive,बोनस
216,bonuses,positive,बोनस
217,boom,positive,बूम
218,booming,positive,रहा
219,boost,positive,को
223,brainy,positive,जानिए
225,brave,positive,बहादुर
227,bravo,positive,ब्रावो
231,breathtaking,positive,लुभावनी
233,breeze,positive,मंद
234,bright,positive,चमकीले
235,brighten,positive,चमकाने
238,brilliance,positive,ब्रिलिएंस
240,brilliant,positive,चमकदार
242,brisk,positive,तेज़ी
243,brotherly,positive,भाई
247,calm,positive,शांति
250,capability,positive,क्षमता
251,capable,positive,योग्य
254,captivating,positive,मनोरम
255,carefree,positive,तनावमुक्त
259,celebrate,positive,का
260,celebrated,positive,मनाया
261,celebration,positive,जश्न
263,champ,positive,विजेता
264,champion,positive,चैंपियन
265,charisma,positive,आकर्षण
266,charismatic,positive,करिश्माई
267,charitable,positive,धर्मार्थ
268,charm,positive,आकर्षण
269,charming,positive,आकर्षक
272,cheaper,positive,सस्ता
273,cheapest,positive,सस्ता
274,cheer,positive,खुश
275,cheerful,positive,खूबसूरत
280,chic,positive,फैशनेबल
285,clarity,positive,स्पष्टता
286,classic,positive,क्लासिक
287,classy,positive,सर्वोत्कृष्ट
288,clean,positive,साफ
289,cleaner,positive,क्लीनर
291,cleanliness,positive,स्वच्छता
293,clear,positive,स्पष्ट
295,cleared,positive,मिट
297,clearly,positive,स्पष्ट
299,clever,positive,चालाक
305,colorful,positive,रंगीन
307,comfort,positive,आराम
308,comfortable,positive,आरामदायक
309,comfortably,positive,आराम
311,comfy,positive,आरामदायक
315,commitment,positive,वचनबद्धता
317,compact,positive,कॉम्पैक्ट
319,compassion,positive,करुणा
320,compassionate,positive,दयावान
321,compatible,positive,अनुकूल
322,competitive,positive,प्रतिस्पर्धी
323,complement,positive,पूरक
324,complementary,positive,पूरक
326,complements,positive,पूरक
327,compliant,positive,अनुरूप
328,compliment,positive,प्रशंसा
329,complimentary,positive,निशुल्क
330,comprehensive,positive,व्यापक
333,concise,positive,संक्षिप्त
334,confidence,positive,आत्मविश्वास
338,congratulation,positive,बधाई
339,congratulations,positive,बधाई
343,consistent,positive,संगत
344,consistently,positive,लगातार
345,constructive,positive,रचनात्मक
348,continuity,positive,कंटीन्यूटी
350,contribution,positive,योगदान
351,convenience,positive,सुविधा
352,convenient,positive,सुविधाजनक
357,convincing,positive,ठोस
359,cool,positive,कूल
360,coolest,positive,ठंडा
361,cooperative,positive,अधिक
363,cornerstone,positive,आधारशिला
364,correct,positive,सही
365,correctly,positive,सही
370,courage,positive,साहस
371,courageous,positive,साहसी
374,courteous,positive,विनम्र
376,covenant,positive,प्रण
377,cozy,positive,आरामदायक
378,creative,positive,रचनात्मक
380,credible,positive,प्रामाणिक
381,crisp,positive,कड़क
383,cure,positive,इलाज
386,cute,positive,प्यारा
390,daring,positive,साहसी
392,darling,positive,डार्लिंग
395,dawn,positive,सूर्योदय
396,dazzle,positive,चमक
398,dazzling,positive,चमकदार
402,decent,positive,सभ्य
403,decisive,positive,निर्णायक
405,dedicated,positive,समर्पित
406,defeat,positive,सबसे
407,defeated,positive,जानवर
408,defeating,positive,को
416,delicate,positive,कोमलता
417,delicious,positive,स्वादिष्ट
418,delight,positive,डिलाईट
423,dependable,positive,विश्वसनीय
427,desirable,positive,वांछनीय
428,desiring,positive,की
430,destiny,positive,भाग्य
438,dignity,positive,इज्जत
446,distinguished,positive,प्रतिष्ठित
448,divine,positive,डीवाइन
451,dominated,positive,छाई
460,durable,positive,टिकाऊ
461,dynamic,positive,गतिशील
462,eager,positive,उत्सुक
463,eagerly,positive,बेसब्री
468,ease,positive,सरलता
471,easier,positive,इतना
472,easiest,positive,सबसे
474,easing,positive,बैंक
475,easy,positive,आसान
482,economical,positive,किफायती
488,educated,positive,शिक्षित
489,effective,positive,प्रभावी
490,effectively,positive,से
491,effectiveness,positive,प्रभावशीलता
494,efficient,positive,कुशल
